OBJECTID,NUEVOS_CASOS,TOTAL_CASOS,TOTAL_MUERTES,TOTAL_RECUPERADOS,FECHA_ACTUALIZACION,GlobalID,NUEVOS_MUERTOS,NUEVO_RECUPERADOS
552,1,1,0,0,2020/03/06 05:00:00+00,2cfd33e7-935e-466d-be97-cd9c1d3dfd74,0,0
553,0,1,0,0,2020/03/07 05:00:00+00,2ed4fae9-ea93-4293-b022-07daa41de2bf,0,0
554,0,1,0,0,2020/03/08 05:00:00+00,5963f6b6-a3ba-4a24-9cf8-f72a13c7d9d2,0,0
555,2,3,0,0,2020/03/09 05:00:00+00,ba20e7c9-1abc-4921-a29f-d61c198b7863,0,0
556,0,3,0,0,2020/03/10 05:00:00+00,87e523f6-d767-4f41-a04c-371b7f46bf52,0,0
557,6,9,0,0,2020/03/11 05:00:00+00,bfc01553-aef3-4d38-a595-30890ca6ede9,0,0
558,4,13,0,0,2020/03/12 05:00:00+00,314e6471-fe4f-4475-882a-817c33b0a9ff,0,0
559,3,16,0,0,2020/03/13 05:00:00+00,c63f00b6-f1aa-41d9-b829-b5bb7064802d,0,0
560,8,24,0,0,2020/03/14 05:00:00+00,e97d6abb-5501-4364-93d8-8760fdab357e,0,0
561,21,45,0,0,2020/03/15 05:00:00+00,d1f61dc7-58f0-4700-b8ba-307fc534f506,0,0
562,12,57,0,0,2020/03/16 05:00:00+00,853f59ee-b6f5-4548-a503-90d4a24701ac,0,0
563,18,75,0,0,2020/03/17 05:00:00+00,d3678a79-1a63-4401-b6be-9efc0163f16d,0,0
564,27,102,0,0,2020/03/18 05:00:00+00,0f3fb30b-1953-46db-99a3-324b60cfb83b,0,0
565,26,128,0,0,2020/03/19 05:00:00+00,ef0f27e9-5240-44b8-8250-f717a64edb9b,0,0
566,47,175,0,0,2020/03/20 05:00:00+00,cb8a2323-4d6c-4cc0-ad87-3cad85226209,0,0
567,35,210,1,0,2020/03/21 05:00:00+00,14d22600-a249-4032-a817-c2d4d9879841,1,0
568,30,240,2,0,2020/03/22 05:00:00+00,23043f8f-39c6-4648-9c9c-1ed89fa96a0b,1,0
569,66,306,3,6,2020/03/23 05:00:00+00,b1746a79-2f04-4a77-abec-bec263371196,1,6
570,113,419,3,6,2020/03/24 05:00:00+00,b9f877ae-e85b-42a9-94df-5d7a4e75bd6f,0,0
571,62,481,4,8,2020/03/25 05:00:00+00,33b7decb-f3f9-437f-9001-1778ed50e827,1,2
